Installation No,OWEC,Tower Installation Start,Tower Installation End,Nacelle Installation Start,Nacelle Installation End,Blade Number,Blade Installation Attempt,Blade Installation Start,Blade Installation End,Blade Installation Status,Blade Installation Comment
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 1,1.0,2019-08-03 09:00:00,2019-08-03 18:00:00,unsuccessful,Installation of first Blade. Failed due to relative motions between blade and nacelle.
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 1,2.0,2019-08-05 06:00:00,2019-08-05 12:00:00,successful,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 1,3.0,,,,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 2,1.0,2019-08-09 02:00:00,2019-08-09 06:00:00,unsuccessful,Installation of second Blade. Failed due to relative motions between blade and nacelle.
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 2,2.0,2019-08-09 06:30:00,2019-08-09 10:00:00,successful,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 2,3.0,,,,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 3,1.0,2019-08-13 01:00:00,2019-08-13 03:00:00,successful,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 3,2.0,,,,
1.0,BW 72,2019-08-02 08:50:00,2019-08-02 14:30:00,2019-08-02 16:15:00,2019-08-02 20:00:00,Blade 3,3.0,,,,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 1,1.0,2019-08-21 18:00:00,2019-08-22 01:30:00,successful,Big relative motions observed.
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 1,2.0,,,,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 1,3.0,,,,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 2,1.0,2019-08-23 08:30:00,2019-08-23 10:30:00,unsuccessful,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 2,2.0,2019-08-23 13:00:00,2019-08-23 15:30:00,successful,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 2,3.0,,,,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 3,1.0,2019-08-23 18:00:00,2019-08-24 02:00:00,successful,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 3,2.0,,,,
2.0,BW 75,2019-08-16 07:30:00,2019-08-16 10:30:00,2019-08-20 07:15:00,2019-08-20 09:15:00,Blade 3,3.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 1,1.0,2019-08-25 18:00:00,2019-08-26 02:00:00,successful,using of wrong guiding pin has delayed blade installation of 1st blade
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 1,2.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 1,3.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 2,1.0,2019-08-26 05:15:00,2019-08-26 12:00:00,successful,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 2,2.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 2,3.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 3,1.0,2019-08-26 15:15:00,2019-08-26 16:30:00,successful,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 3,2.0,,,,
3.0,BW 78,2019-08-25 03:00:00,2019-08-25 05:00:00,2019-08-25 09:00:00,2019-08-25 11:30:00,Blade 3,3.0,,,,
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 1,1.0,2019-09-07 09:00:00,2019-09-07 14:30:00,successful,9:35 1st blade close to hub - 9:50 slewing blade away from hub because of bad weather conditions occured
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 1,2.0,,,,10:10 continuing with installation of 1st blade - 10:40 1st blade pinned in - 14:30 SBIT removed off blade
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 1,3.0,,,,
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 2,1.0,2019-09-08 06:30:00,2019-09-08 23:35:00,successful,"07:30 blade out from rack - 8:10 blade lift in front of nacelle, oscillating tower - 12:30 support from OSV blocking the "
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 2,2.0,,,,waves - 14:00 OSV out from location BW77 - 16:30 tower still oscillating - 20:45 partial tighten blade bolts 
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 2,3.0,,,,23:35 SBIT remove off blade
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 3,1.0,2019-09-09 05:00:00,2019-09-09 09:00:00,successful,05:00 lifting blade up to end of blade rack and remain in that position due to shift change - 06:20 blade off from rack
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 3,2.0,,,,07:00 blade pinned in - 09:00 SBIT removed off blade
4.0,BW 77,2019-08-31 19:45:00,2019-08-31 22:00:00,2019-09-01 02:00:00,2019-09-01 04:30:00,Blade 3,3.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 1,1.0,2019-09-20 04:30:00,2019-09-20 09:17:00,successful,04:30 Start Lift out of the blade rack ; 09:17 SBIT off 1st blade and slewing back to blade rack
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 1,2.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 1,3.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 2,1.0,2019-09-20 13:47:00,2019-09-20 14:50:00,successful,13:47 Start lift out of the blade rack; 14:50 SBIT off 2nd blade and slewing back to blade rack
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 2,2.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 2,3.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 3,1.0,2019-09-20 18:10:00,2019-09-20 20:45:00,successful,18:10 Start lift out of the blade rack; 20:45 SBIT off 3rd blade and slewing back to blade rack
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 3,2.0,,,,
5.0,BW 76,2019-09-10 11:00:00,2019-09-10 13:30:00,2019-09-10 16:45:00,2019-09-10 21:00:00,Blade 3,3.0,,,,
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 1,1.0,2019-09-23 13:50:00,2019-09-23 14:23:00,successful,13:50 Lift Blade 1; 14:23 Blade landed
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 1,2.0,,,,
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 1,3.0,,,,
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 2,1.0,2019-09-23 23:53:00,2019-09-24 02:10:00,successful,23:53 Lift Blade 2; 02:10 SBIT coming off
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 2,2.0,,,,
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 2,3.0,,,,
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 3,1.0,2019-09-24 05:15:00,2019-09-24 07:43:00,unsuccessful,"05:15 SBIT on third blade; 07:43 commenced due too much oscillation, suspended to 13.15"
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 3,2.0,2019-09-24 13:15:00,2019-09-24 15:15:00,successful,13:15 proceed blade installation; 15:15 SBIT coming off blade
6.0,BW 70,2019-09-21 16:30:00,2019-09-21 19:00:00,2019-09-22 04:00:00,2019-09-22 06:30:00,Blade 3,3.0,,,,five attempts made to install
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 1,1.0,2019-09-25 13:45:00,2019-09-25 15:45:00,successful,1st blade pinned in at 14:20
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 1,2.0,,,,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 1,3.0,,,,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 2,1.0,2019-09-25 20:00:00,2019-09-25 23:00:00,successful,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 2,2.0,,,,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 2,3.0,,,,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 3,1.0,2019-09-26 02:30:00,2019-09-26 03:45:00,successful,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 3,2.0,,,,
7.0,BW 60,2019-09-14 01:05:00,2019-09-14 06:00:00,2019-09-14 07:00:00,2019-09-14 09:30:00,Blade 3,3.0,,,,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 1,1.0,2019-10-14 13:50:00,2019-10-14 17:00:00,unsuccessful,"13:50 Start Blade lift; 17:00 Blade landed back in rack; 7 attempts, commecend due too much oscillation"
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 1,2.0,2019-10-15 08:00:00,2019-10-15 09:30:00,successful,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 1,3.0,,,,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 2,1.0,2019-10-15 12:30:00,2019-10-15 14:00:00,unsuccessful,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 2,2.0,2019-10-15 16:00:00,2019-10-15 17:00:00,successful,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 2,3.0,,,,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 3,1.0,2019-10-15 21:45:00,2019-10-16 00:00:00,unsuccessful,3rd blade installation not possible due to high tower + SBIT movements (oscillation)
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 3,2.0,2019-10-16 00:00:00,2019-10-16 03:15:00,successful,
8.0,BW 57,2019-10-13 09:30:00,2019-10-13 13:30:00,2019-10-14 08:00:00,2019-10-14 11:00:00,Blade 3,3.0,,,,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 1,1.0,2019-10-17 08:30:00,2019-10-17 10:45:00,successful,1st blade pinned in at 9:20
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 1,2.0,,,,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 1,3.0,,,,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 2,1.0,2019-10-17 14:45:00,2019-10-17 17:45:00,successful,2nd blade pinned in at 16:45
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 2,2.0,,,,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 2,3.0,,,,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 3,1.0,2019-10-17 21:30:00,2019-10-18 02:30:00,unsuccessful,installation of 3rd blade was not possible due to oscillation of tower; several attempts were taken 
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 3,2.0,2019-10-22 06:00:00,2019-10-22 13:00:00,successful,
9.0,BW 74,2019-10-04 04:40:00,2019-10-04 07:00:00,2019-10-04 14:00:00,2019-10-04 16:30:00,Blade 3,3.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 1,1.0,2019-10-23 21:30:00,2019-10-24 00:00:00,successful,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 1,2.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 1,3.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 2,1.0,2019-10-24 02:30:00,2019-10-24 04:00:00,successful,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 2,2.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 2,3.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 3,1.0,2019-10-24 10:25:00,2019-10-24 13:00:00,successful,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 3,2.0,,,,
10.0,BW 71,2019-10-23 08:30:00,2019-10-23 10:40:00,2019-10-23 12:15:00,2019-10-23 16:00:00,Blade 3,3.0,,,,
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 1,1.0,2019-10-31 11:20:00,2019-10-31 13:45:00,successful,11:20 lift of 1st blade and free from rack - 12:20 blade is pinned into bearing access - 12:30 all blade bolts fully in
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 1,2.0,,,,
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 1,3.0,,,,
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 2,1.0,2019-10-31 16:15:00,2019-10-31 19:45:00,successful,16:00 start of lift 2nd blade and free from rack - 16:30 blade out from rack - 17:00 blade pinned into bearing
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 2,2.0,,,,17:05 blade studs fully in
11.0,BW 59,2019-10-30 23:55:00,2019-10-31 15:00:00,2019-10-31 03:50:00,2019-10-31 06:50:00,Blade 2,3.0,,,,
