Installation No,OWEC,Tower Installation Start,Tower Installation End,Nacelle Installation Start,Nacelle Installation End,Blade Number,Blade Installation Attempt,Blade Installation Start,Blade Installation End,Blade Installation Status,Blade Installation Comment
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 1,2.0,,,,
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 1,3.0,,,,
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 2,1.0,2020-02-04 13:00:00,2020-02-04 14:45:00,unsuccessful,TMD was acivated from 11:45 
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 2,2.0,2020-02-05 01:00:00,2020-02-05 01:50:50,unsuccessful,SBIT has problem in the ̦l pressure from the zylinder (Tip)
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 2,3.0,2020-02-05 11:30:00,2020-02-05 14:00:00,successful,TMD was acivated from 11:30
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 2,4.0,,,,
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 3,1.0,2020-02-05 15:30:00,2020-02-05 17:30:00,successful,
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 3,2.0,,,,
21.0,BW 19,2020-02-02 07:30:00,2020-02-02 08:40:00,2020-02-02 11:00:00,2020-02-02 12:00:00,Blade 3,3.0,,,,
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 1,1.0,2020-03-13 21:00:00,2020-03-14 01:00:00,unsuccessful,process interrupted due to sea wave and tower occilation
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 1,2.0,2020-03-14 03:00:00,2020-03-14 04:30:00,successful,
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 1,3.0,,,,
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 2,1.0,2020-03-14 05:15:00,2020-03-14 09:05:00,successful,process 1h interrupted because of crew change and defect hailo lift
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 2,2.0,,,,
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 2,3.0,,,,
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 3,1.0,2020-03-18 13:30:00,2020-03-18 17:30:00,unsuccessful,blade rotated in the SBIT; blade had been lifted back to the blade rack
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 3,2.0,2020-03-25 06:00:00,2020-03-25 09:30:00,successful,"WTG oscillated a lot, blade hit the spinner 3 times"
22.0,BW 09,2020-03-06 19:30:00,2020-03-06 21:45:00,2020-03-06 23:30:00,2020-03-07 02:30:00,Blade 3,3.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 1,1.0,2020-03-26 16:00:00,2020-03-26 19:30:00,successful,"WTG oscillated a lot, blade hit the spinner >5 times"
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 1,2.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 1,3.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 2,1.0,2020-03-26 21:15:00,2020-03-26 23:10:00,successful,Blade inserted at 21:50
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 2,2.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 2,3.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 3,1.0,2020-03-27 01:00:00,2020-03-27 03:30:00,successful,Blade inserted at 01:30
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 3,2.0,,,,
23.0,BW 17,2020-03-26 05:30:00,2020-03-26 09:20:00,2020-03-26 10:30:00,2020-03-26 14:30:00,Blade 3,3.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 1,1.0,2020-03-31 02:00:00,2020-03-31 07:00:00,successful,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 1,2.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 1,3.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 2,1.0,2020-03-31 09:00:00,2020-03-31 11:00:00,successful,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 2,2.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 2,3.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 3,1.0,2020-03-31 13:00:00,2020-03-31 16:00:00,successful,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 3,2.0,,,,
24.0,BW 29,2020-03-29 06:00:00,2020-03-29 08:00:00,2020-03-30 02:00:00,2020-03-30 04:00:00,Blade 3,3.0,,,,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 1,1.0,2020-04-17 08:30:00,2020-04-17 10:30:00,successful,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 1,2.0,,,,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 1,3.0,,,,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 2,1.0,2020-04-17 12:00:00,2020-04-17 14:00:00,unsuccessful,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 2,2.0,2020-04-17 14:15:00,2020-04-17 16:15:00,successful,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 2,3.0,,,,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 3,1.0,2020-04-18 00:05:00,2020-04-18 01:35:00,successful,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 3,2.0,,,,
25.0,BW  27,2020-04-16 14:30:00,2020-04-16 15:50:00,2020-04-17 00:00:00,2020-04-17 02:45:00,Blade 3,3.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 1,1.0,2020-04-23 03:50:00,2020-04-23 05:00:00,successful,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 1,2.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 1,3.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 2,1.0,2020-04-23 08:30:00,2020-04-23 10:15:00,successful,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 2,2.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 2,3.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 3,1.0,2020-04-23 12:56:00,2020-04-23 18:00:00,successful,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 3,2.0,,,,
26.0,BW 16,2020-04-19 06:15:00,2020-04-19 08:50:00,2020-04-19 12:15:00,2020-04-19 13:45:00,Blade 3,3.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 1,1.0,2020-04-25 12:30:00,2020-04-25 14:45:00,successful,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 1,2.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 1,3.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 2,1.0,2020-04-25 16:45:00,2020-04-25 19:40:00,successful,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 2,2.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 2,3.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 3,1.0,2020-04-25 20:40:00,2020-04-25 23:20:00,successful,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 3,2.0,,,,
27.0,BW  05,2020-04-25 03:00:00,2020-04-25 03:45:00,2020-04-25 06:00:00,2020-04-25 09:15:00,Blade 3,3.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 1,1.0,2020-05-01 19:30:00,2020-05-01 21:15:00,successful,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 1,2.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 1,3.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 2,1.0,2020-05-01 23:00:00,2020-05-02 01:50:00,successful,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 2,2.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 2,3.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 3,1.0,2020-05-02 03:30:00,2020-05-02 05:45:00,successful,blade pinned at 05:45 am
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 3,2.0,,,,
28.0,BW 28,2020-04-30 18:00:00,2020-04-30 20:45:00,2020-05-01 13:30:00,2020-05-01 15:45:00,Blade 3,3.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 1,1.0,2020-05-04 02:00:00,2020-05-04 05:30:00,successful,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 1,2.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 1,3.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 2,1.0,2020-05-05 07:30:00,2020-05-05 09:00:00,successful,"no further problems, calm sea, no oscillations on the tower, low winds"
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 2,2.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 2,3.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 3,1.0,2020-05-05 10:30:00,2020-05-05 12:45:00,successful,took longer because there was a lunch break inbetween
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 3,2.0,,,,
29.0,BW 18,2020-05-02 00:00:00,2020-05-03 02:45:00,2020-05-03 04:00:00,2020-05-04 00:30:00,Blade 3,3.0,,,,
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 1,1.0,2020-05-05 20:30:00,2020-05-06 01:15:00,successful,"problem with the handcontroll, the switch was not corect install."
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 1,2.0,,,,
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 1,3.0,,,,
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 2,1.0,2020-05-06 02:00:00,2020-05-06 02:00:00,unsuccessful,"power loss in TP , switched back to vessel electricity supply. Problem with the turn gear, reset the program"
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 2,2.0,2020-05-06 06:30:00,2020-05-06 07:15:00,successful,blade pinned at 07:15 am
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 2,3.0,,,,
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 3,1.0,2020-05-06 10:50:00,2020-05-06 11:30:00,successful,blade pinned at 11:30 am
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 3,2.0,,,,
30.0,BW 06,2020-05-05 10:00:00,2020-05-05 12:45:00,2020-05-05 14:30:00,2020-05-05 17:30:00,Blade 3,3.0,,,,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 1,1.0,2020-05-14 10:15:00,2020-05-14 10:45:00,unsuccessful,"strong oscillations even with activated TMD, blade ""parked"" in front of turbine for next attempt"
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 1,2.0,2020-05-14 11:10:00,2020-05-14 11:15:00,successful,blade pinned at 11:15 am
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 1,3.0,,,,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 2,1.0,2020-05-14 16:00:00,2020-05-14 16:40:00,successful,blade pinned at 16:40 am
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 2,2.0,,,,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 2,3.0,,,,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 3,1.0,2020-05-14 21:45:00,2020-05-14 22:25:00,successful,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 3,2.0,,,,
31.0,BW 07,2020-05-09 12:45:00,2020-05-09 16:45:00,2020-05-12 20:30:00,2020-05-12 23:55:00,Blade 3,3.0,,,,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 1,1.0,2020-05-16 08:30:00,2020-05-16 08:50:00,unsuccessful,"strong oscillations even with activated TMD, blade ""parked"" in front of turbine for next attempt"
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 1,2.0,2020-05-16 08:55:00,2020-05-16 09:08:00,successful,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 1,3.0,,,,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 2,1.0,2020-05-16 12:45:00,2020-05-16 13:15:00,successful,blade pinned at 1:15 pm
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 2,2.0,,,,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 2,3.0,,,,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 3,1.0,2020-05-16 21:45:00,2020-05-16 22:38:00,successful,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 3,2.0,,,,
32.0,BW 08,2020-05-15 18:30:00,2020-05-15 19:30:00,2020-05-15 22:15:00,2020-05-15 23:15:00,Blade 3,3.0,,,,
